sample_id,Temperature,Ecotype,Organ
Col.15.1,15,Col,Rosette
Col.15.2,15,Col,Rosette
Col.15.3,15,Col,Rosette
Col.22.1,22,Col,Rosette
Col.22.2,22,Col,Rosette
Col.22.3,22,Col,Rosette
Grip.15.1,15,Grip,Rosette
Grip.15.2,15,Grip,Rosette
Grip.15.3,15,Grip,Rosette
Grip.22.1,22,Grip,Rosette
Grip.22.2,22,Grip,Rosette
Grip.22.3,22,Grip,Rosette
Hern.15.1,15,Hern,Rosette
Hern.15.2,15,Hern,Rosette
Hern.15.3,15,Hern,Rosette
Hern.22.1,22,Hern,Rosette
Hern.22.2,22,Hern,Rosette
Hern.22.3,22,Hern,Rosette
Hosp.15.1,15,Hosp,Rosette
Hosp.15.2,15,Hosp,Rosette
Hosp.15.3,15,Hosp,Rosette
Hosp.22.1,22,Hosp,Rosette
Hosp.22.2,22,Hosp,Rosette
Hosp.22.3,22,Hosp,Rosette
Roch.15.1,15,Roch,Rosette
Roch.15.2,15,Roch,Rosette
Roch.15.3,15,Roch,Rosette
Roch.22.1,22,Roch,Rosette
Roch.22.2,22,Roch,Rosette
Roch.22.3,22,Roch,Rosette
