sample_id,modality,data_type
sample_0,all_three,matched
sample_1,all_three,matched
sample_10,all_three,matched
sample_11,all_three,matched
sample_12,all_three,matched
sample_13,all_three,matched
sample_14,all_three,matched
sample_15,all_three,matched
sample_16,all_three,matched
sample_17,all_three,matched
sample_18,all_three,matched
sample_19,all_three,matched
sample_2,all_three,matched
sample_20,all_three,matched
sample_21,all_three,matched
sample_22,all_three,matched
sample_23,all_three,matched
sample_24,all_three,matched
sample_25,all_three,matched
sample_26,all_three,matched
sample_27,all_three,matched
sample_28,all_three,matched
sample_29,all_three,matched
sample_3,all_three,matched
sample_30,all_three,matched
sample_31,all_three,matched
sample_32,all_three,matched
sample_33,all_three,matched
sample_34,all_three,matched
sample_35,all_three,matched
sample_36,all_three,matched
sample_37,all_three,matched
sample_38,all_three,matched
sample_39,all_three,matched
sample_4,all_three,matched
sample_40,all_three,matched
sample_41,all_three,matched
sample_42,all_three,matched
sample_43,all_three,matched
sample_44,all_three,matched
sample_45,all_three,matched
sample_46,all_three,matched
sample_47,all_three,matched
sample_48,all_three,matched
sample_49,all_three,matched
sample_5,all_three,matched
sample_6,all_three,matched
sample_7,all_three,matched
sample_8,all_three,matched
sample_9,all_three,matched
